id,alias,name,image_url,is_closed,url,review_count,categories,rating,latitude,longitude,distance,address,price,is_delivery,is_pickup,category
HYdhgacLH57yHJ1b6TeBdQ,replay-airsoft-glen-burnie,Replay Airsoft,https://s3-media2.fl.yelpcdn.com/bphoto/hNSLVGB7y-2LDQOYjld-wA/o.jpg,False,https://www.yelp.com/biz/replay-airsoft-glen-burnie?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,4,Airsoft,3.5,39.17365,-76.62087,11966.863685249087,"550 Crain Hwy N Unit 12/13 Glen Burnie, MD 21061",,False,False,airsoft
IzLTsg6dxBSrHKdvUM1tMQ,charm-city-roller-girls-towson,Charm City Roller Girls,https://s3-media1.fl.yelpcdn.com/bphoto/gfbK7XfWaZ-FXT5ufX6-iw/o.jpg,False,https://www.yelp.com/biz/charm-city-roller-girls-towson?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,10,Amateur Sports Teams,4.0,39.4029943,-76.6021546,19318.321511095142,"722 Dulaney Valley Rd Ste 187 Towson, MD 21204",,False,False,amateursportsteams
OWnFVSIdRTwNxDU5odrtbA,locust-point-recreation-baltimore,Locust Point Recreation,https://s3-media4.fl.yelpcdn.com/bphoto/7jFgyvAeJLmy8GAYg07fcw/o.jpg,False,https://www.yelp.com/biz/locust-point-recreation-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,2,Amateur Sports Teams,4.5,39.2681522197341,-76.5917320509262,10684.69025784707,"1627 E Fort Ave Baltimore, MD 21230",,False,False,amateursportsteams
7_ofWPLlDTD8jUHg6yKsew,benfield-sportscenter-millersville,Benfield Sportscenter,https://s3-media3.fl.yelpcdn.com/bphoto/etQdz6NyGq74LWW1glnDqQ/o.jpg,False,https://www.yelp.com/biz/benfield-sportscenter-millersville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,1,"Amateur Sports Teams, Recreation Centers, Soccer",5.0,39.0944023,-76.6304703,19215.967229574057,"1031 Benfield Blvd Millersville, MD 21108",,False,False,amateursportsteams
cYVoYcuP8k9UUkNIoMeZoA,i9-sports-odenton,i9 Sports,,False,https://www.yelp.com/biz/i9-sports-odenton?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,2,Amateur Sports Teams,3.5,39.056885,-76.710297,21898.054765226665,"1414 Macfree Ct Odenton, MD 21113",,False,False,amateursportsteams
hsbynfvOPM_eqwUzSIv_0g,piney-orchard-ice-arena-odenton,Piney Orchard Ice Arena,https://s3-media4.fl.yelpcdn.com/bphoto/ZELfIZmDKVxP68XveKsM4A/o.jpg,False,https://www.yelp.com/biz/piney-orchard-ice-arena-odenton?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,6,"Skating Rinks, Amateur Sports Teams, Stadiums & Arenas",2.0,39.06124,-76.72641,21410.976063853715,"8781 Piney Orchard Pkwy Odenton, MD 21113",,False,False,amateursportsteams
82_IWpmRrzVp-S-yIv4yXw,kickball-league-of-baltimore-baltimore,Kickball League Of Baltimore,,False,https://www.yelp.com/biz/kickball-league-of-baltimore-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,3,Amateur Sports Teams,2.5,39.2854197594374,-76.6179656982422,9019.379590614872,"Baltimore, MD",,False,False,amateursportsteams
CoNBrjqt0CERq86fPN9VVw,park-heights-community-baltimore,Park Heights Community,,False,https://www.yelp.com/biz/park-heights-community-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,1,Amateur Sports Teams,4.0,39.3366508483887,-76.6633605957031,10198.49169635408,"4151 Park Heights Ave Baltimore, MD 21215",,False,False,amateursportsteams
w2YtN8T2haZm3VgQaPpliw,howard-county-terps-columbia,Howard County Terps,,False,https://www.yelp.com/biz/howard-county-terps-columbia?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,1,Amateur Sports Teams,4.0,39.1746025085449,-76.8318023681641,13407.053509431931,"7120 Oakland Mills Rd Columbia, MD 21046",,False,False,amateursportsteams
1QBveg1y3y_0Pouw2ra0kg,harm-city-homicide-baltimore,Harm City Homicide,https://s3-media2.fl.yelpcdn.com/bphoto/YqmHD0wUYRdTUykQz9S8JQ/o.jpg,False,https://www.yelp.com/biz/harm-city-homicide-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,1,Amateur Sports Teams,4.0,39.374891,-76.505807,22501.09858677124,"8019 Belair Rd Baltimore, MD 21236",,False,False,amateursportsteams
